min_val_loss,at_epoch_val,min_train_loss,at_epoch_train,num_model_params,num_mult_adds,rp_emb_dim,cond_emb_dim,hidden_dim1,hidden_dim2,hidden_dim3,hidden_dim4,latent_dim,dc_enc_dim,activation,sparsity,sparsity_scheduler,train_time_in_min,batch_size,epochs,lr,beta1,beta2,kld_weight,weight_decay
8.511,996,6.3444,818,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
10.7493,403,3.9032,938,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,<class 'modules.sparsity_scheduler.StepSpars'>,1.38,64,1000,0.001,0.5,0.8,0.7,0.1
9.8323,669,4.1035,995,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.8,<class 'modules.sparsity_scheduler.StepSpars'>,1.25,64,1000,0.001,0.5,0.8,0.7,0.1
8.3979,995,6.7357,971,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.LinearSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
16.1069,228,3.4277,994,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ExponentialSpars'>,1.25,64,1000,0.001,0.5,0.8,0.7,0.1
14.9423,154,3.5646,959,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ExponentialSpars'>,1.19,64,1000,0.001,0.5,0.8,0.7,0.1
11.7366,535,3.9467,997,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ExponentialSpars'>,1.18,64,1000,0.001,0.5,0.8,0.7,0.1
8.7234,925,6.9968,889,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ExponentialSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
9.955,618,4.2921,972,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ExponentialSpars'>,1.06,64,1000,0.001,0.5,0.8,0.7,0.1
9.955,618,4.2921,972,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ExponentialSpars'>,1.14,64,1000,0.001,0.5,0.8,0.7,0.1
9.3698,953,4.6084,933,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ExponentialSpars'>,1.04,64,1000,0.001,0.5,0.8,0.7,0.1
15.1353,168,3.4183,996,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,1.26,64,1000,0.001,0.5,0.8,0.7,0.1
11.3106,974,10.5918,885,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
11.4777,812,10.5328,931,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
11.4483,428,4.1071,964,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,1.15,64,1000,0.001,0.5,0.8,0.7,0.1
15.1353,168,3.4183,996,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,1.52,64,1000,0.001,0.5,0.8,0.7,0.1
12.5674,253,3.9731,932,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,1.12,64,1000,0.001,0.5,0.8,0.7,0.1
11.6007,425,4.1757,962,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,1.25,64,1000,0.001,0.5,0.8,0.7,0.1
11.054,340,4.1459,972,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.86,64,1000,0.001,0.5,0.8,0.7,0.1
9.6133,606,5.1727,972,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,1.2,64,1000,0.001,0.5,0.8,0.7,0.1
9.8732,731,5.0278,986,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
8.0385,3841,5.626,6200,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,10000,0.001,0.5,0.8,0.7,0.1
9.0523,607,5.6182,957,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
9.0523,607,5.6182,957,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
9.0523,607,5.6182,957,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
9.0523,607,5.6182,957,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
9.789,457,7.1002,483,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,0.0,64,500,0.001,0.5,0.8,0.7,0.1
6.167,484,6.9968,498,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,1.01,64,500,0.001,0.5,0.8,0.7,0.1
5.0325,1673,4.9138,1999,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,4.29,64,2000,0.001,0.5,0.8,0.7,0.1
5.0325,1673,4.9138,1999,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,4.56,64,2000,0.001,0.5,0.8,0.7,0.1
8.9524,1084,10.4114,1888,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.2,64,2000,0.001,0.5,0.8,0.7,0.1
8.9524,1084,10.4114,1888,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.2,64,2000,0.001,0.5,0.8,0.7,0.1
8.9524,1084,10.4114,1888,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.2,64,2000,0.001,0.5,0.8,0.7,0.1
7.8745,1929,6.4051,1977,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.9,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.0,64,2000,0.001,0.5,0.8,0.0,0.1
4.7839,1687,4.2463,1930,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.17,64,2000,0.001,0.5,0.8,0.7,0.1
5.6231,4864,6.3948,4451,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,<class 'modules.sparsity_scheduler.ConstantSpars'>,1.02,64,5000,0.001,0.5,0.8,0.7,0.1
5.0748,4777,5.225,4799,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,9.43,64,5000,0.001,0.5,0.8,0.7,0.1
5.1871,4864,5.235,4991,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,7.66,64,5000,0.001,0.5,0.8,0.7,0.1
5.6626,4657,6.1114,4397,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,10.17,64,5000,0.001,0.5,0.8,0.7,0.1
5.8114,4657,6.4053,4991,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.LinearSpars'>,10.25,64,5000,0.001,0.5,0.8,0.7,0.1
4.6128,4569,4.2777,2773,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.17,64,5000,0.001,0.5,0.8,0.7,0.1
5.0331,1145,5.3039,819,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.18,64,5000,0.001,0.5,0.8,0.7,0.1
5.0331,1145,5.3039,819,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.15,64,10000,0.001,0.5,0.8,0.7,0.1
6.2217,9874,7.2752,9452,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.ExponentialSpars'>,0.19,64,10000,0.001,0.5,0.8,0.7,0.1
4.7839,1687,4.2463,1930,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.18,64,2000,0.001,0.5,0.8,0.7,0.1
4.7839,1687,4.2463,1930,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.18,64,2000,0.001,0.5,0.8,0.7,0.1
4.7839,1687,4.2463,1930,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.18,64,2000,0.001,0.5,0.8,0.7,0.1
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.2,64,1687,0.001,0.5,0.8,0.7,0.1
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.19,64,1687,0.001,0.5,0.8,0.7,0.1
4.8714,1634,4.3021,1526,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.12,64,1687,0.001,0.5,0.8,0.7,0.1
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.2,64,1687,0.001,0.5,0.8,0.7,0.1
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.2,64,1687,0.001,0.5,0.8,0.7,0.1
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.19,64,1687,0.001,0.5,0.8,0.7,0.1
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.19,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,2.9785,1680,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,3.9,64,1687,0.001,0.5,0.8,0.7,0.1
10.2168,319,3.957,1627,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,3.57,64,1687,0.001,0.5,0.8,0.5,0.1
7.3296,198,2.912,1946,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,4.11,64,2000,0.001,0.5,0.8,0.7,0.1
7.3296,198,2.912,1946,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,4.11,64,2000,0.001,0.5,0.8,0.7,0.1
4.7839,1687,4.2463,1930,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.25,64,2000,0.001,0.5,0.8,0.7,0.1
